BD Ticket #,Server SN,IP Address,START DATE,END DATE,Product Name,Model,RACK,FAULT TYPE,If change Part,Foxconn PN,OLD Manufacturer,OLD PN,NEW Manufacturer,NEW PN,OLD PART SN,NEW PART SN,PART POSITION,Error Description,FEEDBACK,TECH,Repair Time,Period,Status,Requester,Notes,Initial Stock Status ,FOXCONN CHINA or USA,Platform,Over time reason,HHPN
1788462,MXX3340291,fdbd:dc61:19:107::48,2024/1/5,2024/1/5,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-C-50,System,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SSH down,"Undetermined system hardware failure Host won't POST; SSH Down AOC and PSU good AOC/Other cables checked? yes, good; S0 and port are normal? yes, Was server rebooted? yes, power drained and reseated AOC; Firmware versions correct? FirmwareRevision: OS rebuilt(if owners allow)? yes, Checked BMC? yes, Checked other logs or by other systems?yes,","1. This is a ByteDance Motherboard Failure ticket. 2. Replaced Motherboard, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/5,10~17,Confirm Closed,Sean Hopeck/sean.hopeck,,,FOXCONN AMERICA,Whitley,,
1789215,MXX3360060,fdbd:dc61:19:121::18,2024/1/4,2024/1/5,S27S2-I8VD3-US,S520-A5,USVADRTM2_M2_M216-D-16,FAN,Y,N/A,Foxconn,GFM0412SS-08,Foxconn,GFM0412SS-08,GS1A0237W13754,GS1A0237W12833,FAN9_R_SPEED,"Speed Critical (Sensor) Speed:0.000,SensorStatus:cr; HourCount: (6) >= 6","1. This is a ByteDance Fan Failure ticket. 2. Replaced Fan 9, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/5,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1789215,MXX3360060,fdbd:dc61:19:121::18,2024/1/4,2024/1/5,S27S2-I8VD3-US,S520-A5,USVADRTM2_M2_M216-D-16,FAN,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAN9_F_SPEED,"Speed Critical (Sensor) Speed:0.000,SensorStatus:cr; HourCount: (6) >= 6","1. This is a ByteDance Fan Failure ticket. 2. Replaced Fan 9, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/5,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1789212,MXX2300358,10.222.112.27,2024/1/4,2024/1/5,B20S2-I8VD2-US,G220-A5,USVASTE_DRTR_R208-J-34,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 215,Hynix,HMAA4GR7CJR8N-XN TG AC 235,80AD0122158654B0C0,80AD01223545DF9AC5,P0_C4_D0,Uncorrectable ECC other uncorrectable memory error SensorName:P0_C4_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P0_C4_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/5,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1769063,MXX2300332,10.62.113.142,2024/1/5,2024/2/8,B16S2-I8VD2-US,G220-A5,USDAL02_EQDA11_04-141435-01-06,PSU,Y,N/A,ASPOWER,U1A-D0800-K-13,ASPOWER,U1A-D0800-K-13,D390800H3W0527,D390800H3W1413,PSU1,Power Supply input lost SensorName:PSU1_Supply;Status:0x0980; HourCount: (6) >= 6,"1. This is a ByteDance PSU Failure ticket. 2. Replaced PSU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Biao Lu,2024/2/4,10~17,Confirm Closed,Zayden Rahman/zayden.rahman,CDN Ticket,,FOXCONN AMERICA,Whitley,,
1792481,MXX2391584,10.54.146.35,2024/1/8,2024/1/8,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-F-29,Memory,Y,N/A,Samsung,M393A4K40EB3-CWE,Samsung,VN M393A4K40EB3-CWE 2237,H0I900022651EF2A60,H1FA00023742272DB8,P1_C1_D0,Uncorrectable ECC other uncorrectable memory error	70 | 01/08/2024 | 03:10:40 | Memory P1_C1_D0_Status | Uncorrectable ECC | Asserted,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced DIMM C1_P1_D0, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/Brian Tyler,2024/1/8,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1792481,MXX2391584,10.54.146.35,2024/1/8,2024/1/8,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-F-29,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,42GN347301134,73EF314900430,CPU0,MicroCode:0xd0003d1	IERR	71 | 01/08/2024 | 03:10:43 | Processor CPU0_Status | IERR | Asserted,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU0, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/Brian Tyler,2024/1/8,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1787142,MXX0130058,10.189.84.54,2024/1/6,2024/1/8,S06-I6VD2-US,R-5211,USVAASH_DRTL_L106-F-04,NIC,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eth2,NIC Lost (Unrecognized)	NIC LOST ETH2,"1. This is a ByteDance NIC Failure ticket. 2. Replaced AOC cable, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/8,10~17,Confirm Closed,Rameez Aslam/rameez.aslam,,,FOXCONN AMERICA,Whitley,,
1695462,MXX1400269,10.189.195.235,2024/1/9,2024/1/9,B04-BF65S1,AliServer-Thor2-04-2U,USVAASH_DRTP_P218-D-46,Memory,Y,N/A,Hynix,HMA84GR7CJR4N-VK T3 AD 116,Hynix,HMA84GR7CJR4N-VK TF AC 025,80AD02211623C4565A,80AD01202553D92B2D,CPU0 F0,Memory CE (Count) > Max (Kernel) 2e | 01/08/2024 | 09:33:49 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 2f | 01/08/2024 | 09:34:24 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 30 | 01/08/2024 | 09:40:14 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 31 | 01/08/2024 | 10:59:07 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 32 | 01/08/2024 | 11:05:05 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 33 | 01/08/2024 | 11:25:39 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 34 | 01/08/2024 | 12:29:00 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 35 | 01/08/2024 | 12:31:25 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 36 | 01/08/2024 | 12:32:43 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 37 | 01/08/2024 | 12:34:21 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 38 | 01/08/2024 | 12:35:14 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 39 | 01/08/2024 | 12:36:53 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 3a | 01/08/2024 | 12:38:38 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 3b | 01/08/2024 | 12:40:24 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserted 3c | 01/08/2024 | 14:21:14 | Memory CPU0F0_DIMM_Stat | Correctable ECC | Asserte,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced CPU0F0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Zihao Lin,2024/1/9,10~17,Confirm Closed,John Bernstein/john.bernstein,,,FOXCONN CHINA,Purley,,
1792060,MXX1400132,10.189.154.238,2024/1/8,2024/1/9,B04-BF65S1,AliServer-Thor2-04-2U,USVAASH_DRTP_P218-K-44,Memory,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SKT0_CTR0_CH0_D0,Memory CE (Count) > Max (Kernel) CEDayCount: (559337) > 500000,1. This is a ByteDance DIMM Failure ticket. 2. No error on the server. 3. Used Dora system and now the ticket is closed.,Brian Tyler/Zihao Lin,2024/1/9,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN CHINA,Purley,,
1769068,MXX2450624,10.62.113.143,2024/1/9,2024/1/10,S19S2-I8VD2-US,G220-A5,USDAL02_EQDA11_04-141435-01-06,PSU,Y,N/A,ASPOWER,U1A-D1300-L-13,N/A,N/A,D061300H8F1288,N/A,PSU1,Power Supply input lost SensorName:PSU1_Supply;Status:0x0980; HourCount: (6) >= 6,"1. This is a ByteDance PSU Failure ticket. 2.  Reseat PSU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Biao Lu,2024/1/9,10~17,Confirm Closed,Yew Song Tan/yew.tan,"CDN Ticket，replaced PSU1 on12/28/2023, no error confirmed with ticket reporter, he is tring to close ticket",,FOXCONN AMERICA,Whitley,,
1787677,MXX2450653,10.62.145.78,2024/1/9,2024/1/30,S19S2-I8VD2-US,G220-A5,USDAL02_EQDA11_04-141435-01-09,Disk,Y,N/A,Intel,SSDPF2KX076TZ,Intel,SSDPF2KX076TZ,PHAC2062002E7P6CGN,PHAC222002HE7P6CGN,nvme4n1,NVME: Lost (in System lost but in lspci exist),"1. This is a ByteDance DISK Failure ticket. 2. Replaced Nvme4n1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Biao Lu,2024/1/13,10~17,Confirm Closed,Zayden Rahman/zayden.rahman,CDN Ticket,,FOXCONN AMERICA,Whitley,,
1789218,MXX3230191,fdbd:dc61:1a:19::41,2024/1/10,2024/1/10,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M116-A-29,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 227,Hynix,HMAA4GR7CJR8N-XN TG AC 235,80AD0122279665B1AB,80AD01223545DF9AC6,P1_C2_D0,Uncorrectable ECC other uncorrectable memory error SensorName:P1_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P1_C2_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/10,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1789171,MXX2460166,10.54.144.164,2024/1/10,2024/1/10,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-F-21,Memory,Y,N/A,Samsung,VN M393A4K40EB3-CWE 2230,Samsung,VN M393A4K40EB3-CWE 2237,H0YE0002305264C7A8,H1FA00023742272ABA,P1_C5_D0,Uncorrectable ECC other uncorrectable memory error EDAC MC6: 1 UE memory read error on CPU_SrcID#1_MC#2_Chan#1_DIMM#0 (channel:1 slot:0 page:0x53cbdad offset:0xe40 grain:32 - err_code:0x00a0:0x0091 SystemAddress:0x53cbdade40 ProcessorSocketId:0x1 MemoryControllerId:0x2 ChannelAddress:0x2697b5b40 ChannelId:0x1 RankAddress:0x134bdbb40 PhysicalRankId:0x0 DimmSlotId:0x0 Row:0xaa5e Column:0x368 Bank:0x1 BankGroup:0x2 ChipSelect:0x0 ChipId:0x0 retry_rd_err_log[0041888f 00000000 6f12a6c4 06d0c000 0000aa5e 00000053cbdade40] correrrcnt[0000 0000 0000 0000 0000 0000 0000 0000]),"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P1_C5_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/10,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1793164,MXX2300392,10.222.119.21,2024/1/9,2024/1/10,B20S2-I8VD2-US,G220-A5,USVASTE_DRTR_R208-K-09,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 216,Hynix,HMAA4GR7CJR8N-XN TG AC 235,80AD01221686550CDF,80AD01223545DF9A4A,P0_C0_D0,Uncorrectable ECC other uncorrectable memory error EDAC MC0: 1 UE memory read error on CPU_SrcID#0_MC#0_Chan#0_DIMM#0 (channel:0 slot:0 page:0x363b1f0 offset:0x80 grain:32 - err_code:0x00a0:0x0090 SystemAddress:0x363b1f0080 ProcessorSocketId:0x0 MemoryControllerId:0x0 ChannelAddress:0x6b763e080 ChannelId:0x0 RankAddress:0x35bb1e080 PhysicalRankId:0x1 DimmSlotId:0x0 Row:0x19ddf Column:0x18 Bank:0x2 BankGroup:0x3 ChipSelect:0x1 ChipId:0x0 retry_rd_err_log[0041888b 00000000 0a030605 01316040 00019ed3 000000365a0f20c0] correrrcnt[0000 0000 0000 0000 0000 0000 0000 0000]),"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P0_C0_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/10,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1793283,MXX1411023,10.233.137.44,2024/1/11,2024/1/11,B04-BF65S1,AliServer-Thor2-04-2U,USVAASH_DRTP_P100-H-50,Memory,Y,N/A,Hynix,HMA84GR7CJR4N-VK T3 AD 116,Hynix,HMA84GR7CJR4N-VK TF AC 025,80AD02211623C81C6D,80AD012025840E1725,SKT0_CTR1_CH0_D0,Memory CE (Count) > Max (Kernel) CEDayCount: (1000898) > 500000,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced CPU0D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/11,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN CHINA,Purley,,
1790644,MXX1470149,10.217.21.149,2024/1/11,2024/1/11,B04-BF65S1,AliServer-Thor2-04-2U,USVAASH_DRTP_P106-G-22,Memory,Y,N/A,Hynix,HMA84GR7DJR4N-XN TG AC 117,Hynix,HMA84GR7DJR4N-XN T4 AD 217,80AD02211723D09F68,80AD0122173695C9EC,SKT0_CTR1_CH2_D0,Memory CE (Count) > Max (Kernel) CEDayCount: (972568) > 500000,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced CPU0C0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/11,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN CHINA,Purley,,
1790644,MXX1470149,10.217.21.149,2024/1/11,2024/1/11,B04-BF65S1,AliServer-Thor2-04-2U,USVAASH_DRTP_P106-G-22,Memory,Y,N/A,Hynix,HMA84GR7DJR4N-XN TG AC 117,Hynix,HMA84GR7DJR4N-XN T4 AD 217,80AD02211723D09C46,80AD0122173695C920,CPU0F0,Memory CE (Count) > Max (Kernel) CEDayCount: (972568) > 500000,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced CPU0F0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/11,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN CHINA,Purley,,
